product_id,name,category,price,brand,imageURL,description,rating,tags
1,Wireless Mouse,Electronics,3400,Samsung,mouse.jpg,A compact wireless mouse with ergonomic design and long battery life.,3.1,"wireless, mouse, electronics, samsung, design, battery"
2,Bluetooth Speaker,Electronics,6000,JBL,speaker.jpg,Portable Bluetooth speaker with rich sound and waterproof build.,4,"bluetooth, electronics, jbl, portable, speaker, waterproof"
3,Yoga Mat,Fitness,2200,FitSimplify,yogamat.jpg,"Non-slip, thick yoga mat for comfort and grip during sessions.",2.1,"mat, fitness, fitsimplify, comfort"
4,Running Shoes,Footwear,7160,Nike,runningshoes.jpg,Lightweight running shoes with breathable mesh and cushioned sole.,2.3,"shoes, footwear, nike, cushioned"
5,"LED Monitor 24""",Electronics,17699,Samsung,monitor.jpg,24-inch LED monitor with full HD resolution and low blue light.,3.1,"LED, monitor, electronics, samsung"
6,Water Bottle (1L),Kitchen,2050,HydroFlask,bottle.jpg,Stainless steel bottle that keeps liquids hot or cold for hours.,4.2,"bottle, kitchen, hydroflask, stainless, liquids"
7,Office Chair Ergonomic,Furniture,5000,Herman Miller,officechair.jpg,Comfortable office chair with mesh back and adjustable lumbar support.,2.7,"office, chair, furniture, hermanmiller,adjustable"
8,Wireless Earbuds,Electronics,5500,Samsung,earbuds.jpg,Compact wireless earbuds with active noise cancellation and mic.,4.4,"wireless, electronics, samsung, noise, mic"
9,Resistance Band Set,Fitness,1800,FitSimplify,bands.jpg,Set of 5 resistance bands for strength training and workouts.,1.1,"band, fitness, fitsimplify, strength, workouts"
10,Smart Watch,Electronics,20500,JBL,smartwatch.jpg,"Smart watch with heart rate monitor, fitness tracking, and GPS.",2.1,"smart, watch, electronics, jbl, monitor, fitness, tracking"
11,"Laptop Sleeve 15.6""",Accessories,2200,AmazonBasics,laptopsleeve.jpg,"Padded sleeve for laptops up to 15.6"", water-resistant material.",4.6,"laptop, sleeve, accessories, amazonbasics, water, resistant"
12,Hoodie (Unisex),Fashion,3500,H&M,hoodie.jpg,Comfortable cotton hoodie for everyday casual wear.,1.1,"hoodie, unisex, fashion, h&m, everyday, casual"
13,Electric Toothbrush,Personal Care,4500,3M,toothbrush.jpg,Rechargeable electric toothbrush with pressure sensor and timer.,3.8,"electric, toothbrush, personal care, 3m, sensor, and"
14,Blender (600W),Kitchen,5000,HydroFlask,blender.jpg,"600W blender ideal for smoothies, soups, and protein shakes.",4,"blender, kitchen, hydroflask, smoothies, soups, and"
15,DSLR Camera (24MP),Electronics,40000,Sony,camera.jpg,24MP DSLR with interchangeable lens and full manual controls.,2.4,"dslr, camera, mp, electronics, sony, full, manual"
16,Travel Backpack 30L,Luggage,6550,H&M,backpack.jpg,30L travel backpack with padded straps and water-resistant material.,5,"travel, backpack, l, luggage, h&m, water, resistant"
17,Coffee Grinder,Kitchen,2800,Cuisinart,grinder.jpg,Electric coffee grinder with adjustable grind settings.,2.3,"coffee, grinder, kitchen, cuisinart, adjustable, grind"
18,Sunglasses UV400,Fashion,1900,Ray-Ban,sunglasses.jpg,Stylish UV400 polarized sunglasses with scratch-resistant lens.,4,"sunglasses, uv, fashion, ray-ban, scratch, resistant"
19,Floor Lamp Modern,Furniture,1500,Ikea,lamp.jpg,Sleek modern floor lamp with dimmable LED light.,1.3,"floor, lamp, modern, furniture, ikea, dimmable, LED"
20,Smartphone Tripod Stand,Accessories,2570,UBeesize,tripod.jpg,Adjustable tripod for smartphones with remote control shutter.,1.9,"smartphone, tripod, stand, accessories, ubeesize, remote, control"
21,Men's Leather Wallet,Fashion,2700,H&M,wallet.jpg,Slim genuine leather wallet with RFID protection.,3.4,"men's, leather, wallet, fashion, h&m, with, RFID"
22,Face Mask (Reusable),Personal Care,100,3M,mask.jpg,Reusable cloth face mask with multiple layers and nose wire.,4.1,"face, mask, reusable, personal care, 3m, and, nose"
23,Electric Kettle (1.5L),Kitchen,3350,Sony,kettle.jpg,1.5L electric kettle with auto-shutoff and fast boil feature.,4.2,"electric, kettle, l, kitchen, sony, fast, shutoff and fast boil"
24,Mini Projector,Electronics,9500,Samsung,projector.jpg,"Portable mini projector for movies, presentations, and gaming.",3.2,"mini, electronics, samsung, for movies, presentations, and, presentations"
25,"Foam Roller 18""",Fitness,2560,TriggerPoint,foamroller.jpg,"18"" foam roller for muscle recovery, stretching, and myofascial release.",5,"foam, fitness, triggerpoint, recovery, stretching, and"
