product_id,name,price,category,brand,imageURL,description,rating,tags
1,Smartphone,48980,Electronics,Samsung,electronics_1.jpg,High performance with sleek design,3,"smartphone, electronics, samsung, high, performance, sleek, design"
2,Laptop,57149,Electronics,Apple,electronics_2.jpg,Long battery life and vibrant display,4,"laptop, electronics, apple, long, battery, life, vibrant, display"
3,Bluetooth Speaker,1505,Electronics,Samsung,electronics_3.jpg,Portable and immersive sound experience,3.4,"bluetooth, speaker, electronics, samsung, portable, immersive, sound, experience"
4,Smartwatch,6500,Electronics,Xiaomi,electronics_4.jpg,Stay connected with smart notifications,3.7,"smartwatch, electronics, xiaomi, stay, connected, smart, notifications"
5,Headphones,2065,Electronics,Samsung,electronics_5.jpg,Noise cancellation and clear audio,4.4,"headphones, electronics, samsung, noise, cancellation, clear, audio"
6,Yoga Mat,750,Fitness,Nike,fitness_1.jpg,Comfortable for all exercises,3.7,"yoga, mat, fitness, nike, comfortable, all, exercises"
7,Treadmill,47000,Fitness,Adidas,fitness_2.jpg,Powerful motor with multiple modes,4.2,"treadmill, fitness, adidas, powerful, motor, multiple, modes"
8,Dumbbells,3695,Fitness,Nike,fitness_3.jpg,Durable and ergonomic grip,4.6,"dumbbells, fitness, nike, durable, ergonomic, grip"
9,Fitness Tracker,3830,Fitness,Nike,fitness_4.jpg,Track your health metrics easily,4.1,"fitness, tracker, fitness, nike, track, health, metrics, easily"
10,Resistance Bands,1045,Fitness,Decathlon,fitness_5.jpg,Stretch and tone your muscles,4.3,"resistance, bands, fitness, decathlon, stretch, tone, muscles"
11,Blender,2580,Kitchen,Philips,kitchen_1.jpg,Blend ingredients quickly and efficiently,3.1,"blender, kitchen, philips, blend, ingredients, quickly, efficiently"
12,Pressure Cooker,2610,Kitchen,Prestige,kitchen_2.jpg,Cooks food evenly and faster,3.6,"pressure, cooker, kitchen, prestige, cooks, food, evenly, faster"
13,Knife Set,1130,Kitchen,Philips,kitchen_3.jpg,Sharp blades with stylish block,3.5,"knife, set, kitchen, philips, sharp, blades, stylish, block"
14,Microwave Oven,8655,Kitchen,Morphy Richards,kitchen_4.jpg,Heats food evenly and quickly,4.5,"microwave, oven, kitchen, morphy, richards, heats, food, evenly, quickly"
15,Dish Rack,700,Kitchen,Panasonic,kitchen_5.jpg,Keeps your dishes organized,3,"dish, rack, kitchen, panasonic, keeps, dishes, organized"
16,Office Chair,6070,Furniture,IKEA,furniture_1.jpg,Ergonomic design for long hours,4.1,"office, chair, furniture, ikea, ergonomic, design, long, hours"
17,Study Table,8499,Furniture,Godrej,furniture_2.jpg,Spacious and sturdy workspace,4,"study, table, furniture, godrej, spacious, sturdy, workspace"
18,Bookshelf,6250,Furniture,HOMECENTRE,furniture_3.jpg,Organize books with ease,3.7,"bookshelf, furniture, homecentre, organize, books, ease"
19,Wardrobe,26125,Furniture,Godrej,furniture_4.jpg,Spacious with sleek finish,3.7,"wardrobe, furniture, godrej, spacious, sleek, finish"
20,Sofa,8320,Furniture,Urban Ladder,furniture_5.jpg,Comfortable and stylish seating,4.5,"sofa, furniture, urban, ladder, comfortable, stylish, seating"
21,Jeans,2200,Fashion,Levis,fashion_1.jpg,Trendy and comfortable fit,3.8,"jeans, fashion, levis, trendy, comfortable, fit"
22,T-Shirt,7360,Fashion,Zara,fashion_2.jpg,Soft cotton with vibrant colors,3.6,"t-shirt, fashion, zara, soft, cotton, vibrant, colors"
23,Sneakers,5590,Fashion,Puma,fashion_3.jpg,Stylish and comfortable walk,4.1,"sneakers, fashion, puma, stylish, comfortable, walk"
24,Handbag,3555,Fashion,Gucci,fashion_4.jpg,Elegant and spacious design,4.9,"handbag, fashion, gucci, elegant, spacious, design"
25,Sunglasses,6999,Fashion,Gucci,fashion_5.jpg,Protect your eyes in style,4.1,"sunglasses, fashion, gucci, protect, eyes, style"
